+--------+----------------+----------------+---------------------------+-------------------------+
| Bin#   |     ttbar      |     Total      | VBSOSWWH_C2V_31 [10.00x]  | VBSWZH_C2V_32 [10.00x]  |
|--------+----------------+----------------+---------------------------+-------------------------+
| Bin0   |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
| Bin1   |  4.054 ± 1.17  |  4.054 ± 1.17  |     0.05996 ± 0.02681     |    0.1827 ± 0.03809     |
| Bin2   | 21.62 ± 2.703  | 21.62 ± 2.703  |     0.5756 ± 0.08308      |     1.771 ± 0.1186      |
| Bin3   | 49.32 ± 4.082  | 49.32 ± 4.082  |      0.9353 ± 0.1059      |     3.622 ± 0.1696      |
| Bin4   | 86.83 ± 5.416  | 86.83 ± 5.416  |      1.499 ± 0.1341       |     5.456 ± 0.2082      |
| Bin5   | 154.1 ± 7.262  | 154.1 ± 7.262  |      2.314 ± 0.1666       |     7.227 ± 0.2396      |
| Bin6   |  170.9 ± 7.63  |  170.9 ± 7.63  |      2.158 ± 0.1609       |     6.441 ± 0.2262      |
| Bin7   | 289.5 ± 9.936  | 289.5 ± 9.936  |      2.146 ± 0.1604       |     6.385 ± 0.2252      |
| Bin8   | 409.5 ± 11.77  | 409.5 ± 11.77  |      1.775 ± 0.1459       |     5.536 ± 0.2097      |
| Bin9   | 467.6 ± 12.63  | 467.6 ± 12.63  |      1.247 ± 0.1223       |     3.606 ± 0.1692      |
| Bin10  | 632.4 ± 14.68  | 632.4 ± 14.68  |      1.187 ± 0.1193       |     2.724 ± 0.1471      |
| Bin11  |  826 ± 16.78   |  826 ± 16.78   |      0.9953 ± 0.1092      |     2.057 ± 0.1278      |
| Bin12  | 889.5 ± 17.41  | 889.5 ± 17.41  |      1.007 ± 0.1099       |      1.843 ± 0.121      |
| Bin13  |  1062 ± 19.02  |  1062 ± 19.02  |      0.8993 ± 0.1038      |     1.596 ± 0.1126      |
| Bin14  |  1105 ± 19.38  |  1105 ± 19.38  |      0.9353 ± 0.1059      |     1.612 ± 0.1132      |
| Bin15  |  1111 ± 19.48  |  1111 ± 19.48  |      1.007 ± 0.1099       |     1.739 ± 0.1175      |
| Bin16  |  1138 ± 19.66  |  1138 ± 19.66  |     0.7674 ± 0.09593      |     1.588 ± 0.1123      |
| Bin17  |  1113 ± 19.47  |  1113 ± 19.47  |      0.8754 ± 0.1025      |      1.7 ± 0.1162       |
| Bin18  |  1075 ± 19.13  |  1075 ± 19.13  |      0.9233 ± 0.1052      |     1.604 ± 0.1129      |
| Bin19  |  916.9 ± 17.7  |  916.9 ± 17.7  |      0.8993 ± 0.1038      |      1.906 ± 0.123      |
| Bin20  | 820.3 ± 16.71  | 820.3 ± 16.71  |      0.8873 ± 0.1032      |     2.271 ± 0.1343      |
| Bin21  |  608.8 ± 14.4  |  608.8 ± 14.4  |      1.163 ± 0.1181       |     2.589 ± 0.1434      |
| Bin22  | 451.4 ± 12.42  | 451.4 ± 12.42  |      1.391 ± 0.1291       |     3.566 ± 0.1683      |
| Bin23  | 398.7 ± 11.69  | 398.7 ± 11.69  |      1.823 ± 0.1478       |     4.694 ± 0.1931      |
| Bin24  | 304.1 ± 10.16  | 304.1 ± 10.16  |      1.823 ± 0.1478       |     5.941 ± 0.2172      |
| Bin25  | 189.9 ± 8.009  | 189.9 ± 8.009  |      2.038 ± 0.1563       |     6.473 ± 0.2267      |
| Bin26  | 140.5 ± 6.957  | 140.5 ± 6.957  |      2.182 ± 0.1618       |     7.084 ± 0.2372      |
| Bin27  | 78.38 ± 5.168  | 78.38 ± 5.168  |      1.643 ± 0.1404       |     5.194 ± 0.2031      |
| Bin28  | 52.03 ± 4.247  | 52.03 ± 4.247  |      1.127 ± 0.1163       |     3.526 ± 0.1673      |
| Bin29  | 22.97 ± 2.786  | 22.97 ± 2.786  |     0.5756 ± 0.08308      |     1.858 ± 0.1215      |
| Bin30  | 4.392 ± 1.218  | 4.392 ± 1.218  |     0.08394 ± 0.03173     |    0.2462 ± 0.04422     |
| Bin31  |     0 ± 0      |     0 ± 0      |           0 ± 0           |          0 ± 0          |
+--------+----------------+----------------+---------------------------+-------------------------+
