index     maxhbbscore         N3B1      
1         0.4246              -1        
1         0.999               1.616     
1         0.005581            1.54      
1         0.9473              1.495     
1         0.0001744           1.701     
1         0.002867            1.63      
1         0.0303              1.438     
1         0.999               1.501     
1         0.009933            1.614     
1         0.9233              1.967     
1         0.9995              1.778     
1         0.8711              1.435     
1         0.9937              2.205     
1         0.9917              2.641     
1         0.9727              1.56      
1         0.9888              1.306     
1         0.9561              2.596     
1         0.8667              1.384     
1         0.01595             1.512     
1         0.9883              1.534     
1         0.005909            1.498     
1         0.01392             1.394     
1         0.01039             1.207     
1         0.01118             2.475     
1         0.9751              1.325     
1         0.03391             1.542     
1         0.0003169           1.629     
1         0.8379              1.529     
1         0.9941              1.61      
1         0.02888             1.485     
1         0.4153              3.701     
1         0.9995              1.605     
1         0.9985              1.365     
1         0.5552              1.73      
1         0.001067            2.291     
1         0.0001597           1.573     
1         0.9766              1.59      
1         0.2861              1.424     
1         0.001571            -1        
1         0.9985              -1        
1         0.7461              1.4       
1         0.07776             1.651     
1         0.0006313           1.952     
1         0.0001141           2.07      
1         0.001875            1.505     
1         0.4263              -1        
1         0.0006557           1.237     
1         0.0006485           2.059     
1         0.1594              2.402     
1         0.9985              1.635     
1         0.9946              1.597     
1         0.004406            -1        
1         0.02034             1.882     
1         0.006886            1.614     
1         0.01279             -1        
1         0.9229              1.55      
1         0.4375              -1        
1         0.9922              2.014     
1         0.008186            2.029     
1         0.6777              1.812     
1         0.0009623           2.893     
1         0.004967            -1        
1         0.08057             1.357     
1         0.008965            -1        
1         0.02921             1.604     
1         0.9976              1.571     
1         0.9995              1.643     
1         0.01524             1.476     
1         0.01898             1.699     
1         0.0003066           1.574     
1         0.01012             1.604     
1         0.03412             1.524     
1         0.08881             -1        
1         0.0009131           2.072     
1         0.0361              1.501     
1         0.1304              2.225     
1         0.9907              2.029     
1         0.03973             1.664     
1         0.0007925           1.686     
1         0.9976              1.608     
1         0.001654            1.309     
1         0.9995              2.078     
1         0.01104             1.41      
1         0.01032             1.443     
1         0.008682            2.562     
1         0.9458              1.944     
1         0.2328              1.298     
1         0.01779             1.97      
1         0.9976              2.133     
1         0.04095             1.506     
1         0.119               1.443     
1         0.00187             2.9       
1         0.0441              1.665     
1         0.0001208           1.928     
1         0.998               1.355     
1         0.6792              1.701     
1         0.000586            2.521     
1         0.0006962           1.562     
1         0.0001819           1.619     
1         0.5957              -1        
1         0.05136             1.309     
1         0.2377              1.079     
1         0.9902              1.707     
1         0.9907              1.55      
1         0.5239              1.542     
1         0.5806              1.378     
1         0.9863              1.917     
1         0.998               1.821     
1         0.9917              1.596     
1         0.5059              1.518     
1         0.001142            -1        
1         0.9976              1.482     
1         0.0148              1.534     
1         0.3555              1.635     
1         0.001673            1.465     
1         0.06592             1.461     
1         0.8735              2.215     
1         0.7437              1.521     
1         0.0003717           1.637     
1         0.6782              1.622     
1         0.9995              1.415     
1         0.006954            1.353     
1         0.9907              1.567     
1         0.002296            -1        
1         0.9712              1.524     
1         0.998               2.223     
1         0.9961              1.552     
1         0.9946              1.716     
1         0.002876            1.411     
1         0.007103            1.486     
1         0.001545            -1        
1         0.02515             1.201     
1         0.9771              1.508     
1         0.9766              1.693     
1         0.9985              -1        
1         0.8198              1.731     
1         0.002718            1.467     
1         0.01907             1.495     
1         0.08575             3.127     
1         0.998               1.647     
1         0.1174              -1        
1         0.999               1.522     
1         0.0002904           1.563     
1         0.07587             -1        
1         0.05429             1.403     
1         0.007591            2.826     
1         0.06433             1.211     
1         0.008011            2.047     
1         0.007065            2.248     
1         0.9707              1.557     
1         0.7354              1.294     
1         0.9224              1.738     
1         0.01249             -1        
1         0.05789             -1        
1         0.01531             -1        
1         0.01262             1.375     
1         0.9995              1.354     
1         0.02402             -1        
1         0.0233              1.517     
1         0.001032            1.626     
1         0.002537            -1        
1         0.9966              1.426     
1         0.008453            1.534     
1         0.003107            1.353     
1         0.1031              1.511     
1         0.9995              1.5       
1         0.7603              1.628     
1         0.000524            1.515     
1         0.7822              1.359     
1         0.1979              1.62      
1         0.7417              -1        
1         0.9956              1.797     
1         0.9614              1.897     
1         0.08374             1.648     
1         0.3269              1.559     
1         0.9814              1.668     
1         0.7876              1.54      
1         0.874               1.457     
1         0.9956              2.689     
1         0.0003257           1.706     
1         0.9976              1.625     
1         0.002211            1.458     
1         0.6001              2.012     
1         0.9976              1.991     
1         6.542e-06           1.07      
1         0.008125            1.704     
1         0.113               1.714     
1         0.396               1.549     
1         0.1952              1.512     
1         0.9985              1.412     
1         0.9937              1.714     
1         0.8384              1.698     
1         0.002064            1.638     
1         0.9385              1.649     
1         0.001374            1.529     
1         0.999               1.716     
1         0.02107             1.702     
1         0.9839              1.442     
1         0.001255            -1        
1         0.0001827           2.523     
1         0.003668            1.746     
1         0.9292              1.538     
1         0.9805              1.621     
1         0.001076            1.575     
1         0.7217              1.286     
1         0.002462            1.569     
1         0.007866            -1        
1         0.09912             -1        
1         0.8765              2.076     
1         0.002096            1.621     
1         0.08527             -1        
1         0.002426            -1        
1         2.168e-05           -1        
1         0.4895              1.718     
1         0.05597             1.807     
1         0.01331             -1        
1         0.001644            1.444     
1         0.9448              1.403     
1         0.02753             1.608     
1         0.9976              2.088     
1         0.007561            1.551     
1         0.001045            1.305     
1         0.9995              1.711     
1         0.5498              1.422     
1         0.2186              -1        
1         0.002474            1.568     
1         0.0005317           1.542     
1         0.9419              1.314     
1         0.4897              1.535     
1         0.0001905           1.725     
1         0.1886              2.045     
1         0.999               1.595     
1         0.1394              2.393     
1         0.004784            1.768     
1         0.9966              1.723     
1         0.0002234           2.584     
1         0.9966              1.971     
1         0.002218            2.309     
1         0.001494            1.561     
1         0.0007606           2.756     
1         0.0001218           1.797     
1         0.363               1.494     
1         0.3826              1.521     
1         0.0322              2.004     
1         0.9927              2.078     
1         0.007168            1.694     
1         0.999               1.279     
1         0.001288            1.48      
1         0.9922              1.687     
1         0.03842             1.341     
1         0.02139             2.035     
1         0.8052              1.543     
1         0.9839              1.458     
1         0.005211            1.577     
1         0.9995              1.373     
1         0.001616            1.973     
1         0.01464             1.83      
1         0.001516            1.399     
1         0.04199             2.145     
1         0.4321              -1        
1         0.9985              1.26      
1         0.9976              1.821     
1         0.09991             1.944     
1         0.002134            3.008     
1         0.1338              1.426     
1         0.006786            -1        
1         0.9995              1.512     
1         8.309e-05           -1        
1         0.0001398           1.73      
1         0.005383            1.485     
1         0.03793             1.52      
1         0.04364             1.564     
1         0.08783             1.543     
1         0.03778             1.665     
1         0.0001799           -1        
1         0.7319              1.808     
1         0.999               1.557     
1         0.9995              2.189     
1         0.999               1.504     
1         0.9478              1.832     
1         0.9966              -1        
1         0.0002694           1.429     
1         0.01245             1.429     
1         0.9863              1.274     
1         0.0001274           2.246     
1         0.999               1.566     
1         0.999               1.82      
1         0.2615              1.581     
1         8.002e-06           0.9888    
1         0.001442            1.89      
1         0.4653              -1        
1         0.001729            1.907     
1         0.00122             2.254     
1         0.334               1.183     
1         0.9355              1.925     
1         0.5864              1.542     
1         0.000235            1.529     
1         0.1315              1.461     
1         0.08936             2.363     
1         0.0441              1.437     
1         0.999               1.603     
1         0.9834              1.55      
1         0.001738            1.42      
1         0.8975              1.788     
1         0.02876             -1        
1         0.7168              1.496     
1         0.003569            2.814     
1         0.9917              2.449     
1         0.9985              2.336     
1         0.003681            1.56      
1         0.998               1.633     
1         0.9116              2.027     
1         0.9741              -1        
1         0.004673            1.432     
1         0.005596            1.482     
1         0.9863              2.326     
1         0.05624             1.401     
1         0.9976              1.685     
1         0.9126              -1        
1         0.001116            1.92      
1         0.01256             1.499     
1         0.001035            1.395     
1         7.987e-05           2.031     
1         0.1742              1.726     
1         0.0005198           1.238     
1         0.0009279           1.776     
1         0.188               1.545     
1         0.3083              0.9941    
1         0.003273            2.135     
1         0.9956              -1        
1         0.812               1.521     
1         0.8291              1.247     
1         0.01315             -1        
1         0.06793             2.105     
1         0.1935              1.651     
1         0.0001459           1.376     
1         0.1544              1.903     
1         0.05716             1.391     
1         0.005692            -1        
1         0.001466            1.384     
1         0.02299             -1        
1         0.9995              1.814     
1         0.9985              1.573     
1         0.9995              2.057     
1         0.01848             1.558     
1         0.2454              2.609     
1         0.98                1.685     
1         0.1316              1.388     
1         0.6318              1.488     
1         0.002134            1.739     
1         0.05725             1.454     
1         0.009384            1.68      
1         0.9834              1.688     
1         0.1373              1.462     
1         0.6807              1.412     
1         0.5771              1.419     
1         0.001455            1.229     
1         0.0007138           1.823     
1         0.8979              1.562     
1         0.9956              1.982     
1         0.0002744           2.359     
1         0.3047              1.688     
1         0.002451            1.724     
1         0.003777            1.878     
1         0.8521              1.725     
1         0.9307              1.438     
1         0.0658              1.658     
1         0.01043             2.234     
1         0.9966              2.338     
1         0.6904              1.513     
1         0.6782              1.386     
1         0.005718            1.342     
1         0.03412             1.592     
1         0.02377             1.563     
1         0.008789            2.02      
1         0.3391              1.343     
1         0.2727              -1        
1         0.4524              1.503     
1         5.868e-05           1.585     
1         0.71                1.338     
1         9.978e-05           1.837     
1         0.05432             1.595     
1         0.998               -1        
1         0.00399             1.596     
1         0.9692              1.44      
1         0.0005445           1.59      
1         0.05164             1.973     
1         0.9463              2.145     
1         0.1412              1.93      
1         0.918               2.576     
1         0.0006499           1.421     
1         0.005337            1.656     
1         0.01007             1.981     
1         0.00165             2.252     
1         0.5693              1.791     
1         0.06378             -1        
1         0.999               1.978     
1         0.0002871           1.088     
1         0.8662              1.514     
1         0.9941              1.918     
1         0.999               1.85      
1         0.03275             1.539     
1         0.2646              1.855     
1         0.0004065           1.372     
1         0.9985              1.592     
1         0.04871             1.54      
1         0.5005              1.474     
1         0.9365              1.707     
1         0.002203            1.453     
1         0.113               1.45      
1         0.9912              3.352     
1         0.8345              1.516     
1         0.001183            1.826     
1         0.917               1.899     
1         0.9458              -1        
1         0.9771              -1        
1         0.005489            2.23      
1         0.959               1.534     
1         0.9604              1.84      
1         0.9951              1.854     
1         0.999               2.299     
1         0.9897              2.139     
1         0.03073             1.755     
1         0.342               -1        
1         0.9546              -1        
1         0.4722              1.521     
1         0.01959             2.178     
1         0.003254            1.089     
1         0.8711              1.794     
1         0.9995              1.667     
1         0.0006371           1.037     
1         0.02863             2.139     
1         0.003618            1.963     
1         0.001589            -1        
1         0.3733              1.746     
1         0.09094             1.398     
1         0.9922              1.539     
1         0.1836              1.512     
1         0.003067            -1        
1         0.03827             1.451     
1         0.002186            -1        
1         0.3899              -1        
1         0.000627            1.831     
1         0.007637            1.484     
1         0.9995              1.534     
1         0.9995              1.555     
1         0.004917            1.336     
1         0.1974              1.828     
1         0.9834              1.054     
1         0.001038            1.642     
1         0.06384             -1        
1         0.008507            -1        
1         0.4302              2.051     
1         0.02921             1.489     
1         0.009186            1.637     
1         0.9932              -1        
1         0.9995              1.659     
1         0.001581            1.36      
1         0.8999              1.382     
1         0.9961              1.752     
1         0.004818            1.569     
1         0.811               1.512     
1         0.9985              2.061     
1         0.9995              1.57      
1         0.09528             1.971     
1         0.8799              1.771     
1         5.922e-05           1.646     
1         0.728               1.177     
1         0.9995              2.123     
1         0.01025             -1        
1         0.0153              1.559     
1         0.4961              1.889     
1         0.0006685           1.471     
1         0.01385             1.983     
1         0.9985              1.915     
1         0.9995              1.807     
1         0.004959            1.989     
1         0.08942             2.002     
