index     maxhbbscore         N3B1      
1         0.999               2.715     
1         0.9956              -1        
1         0.002668            1.796     
1         0.9717              2.713     
1         0.004662            1.603     
1         0.004238            1.541     
1         0.9482              2.535     
1         0.9717              1.533     
1         0.00539             1.423     
1         0.005001            1.903     
1         0.1874              -1        
1         0.04654             1.553     
1         0.9976              1.553     
1         0.01125             1.483     
1         0.9648              2.059     
1         0.8022              -1        
1         0.8516              1.554     
1         0.2988              1.509     
1         0.835               -1        
1         0.4592              1.566     
1         0.005527            1.618     
1         0.937               1.514     
1         0.0799              1.528     
1         0.1643              -1        
1         0.9995              1.385     
1         0.007309            2.303     
1         0.05093             2.324     
1         0.001247            1.438     
1         0.9976              1.478     
1         0.003265            1.566     
1         0.8984              1.547     
1         0.998               1.596     
1         0.6982              1.623     
1         0.00568             1.43      
1         0.09485             1.596     
1         0.04892             1.975     
1         0.01136             1.521     
1         0.005466            1.625     
1         0.9995              1.884     
1         0.0003166           1.589     
1         0.9971              1.63      
1         0.01178             1.437     
1         0.9971              1.876     
1         0.008408            1.997     
1         0.9888              1.83      
1         0.04056             1.384     
1         0.2708              1.474     
1         0.9902              1.322     
1         0.006886            2.428     
1         0.9995              1.558     
1         0.002338            1.828     
1         0.1671              -1        
1         0.001617            -1        
1         0.9966              1.535     
1         0.8306              1.609     
1         0.7217              1.264     
1         0.0008693           2.109     
1         0.9907              2.014     
1         0.9858              1.336     
1         0.9995              1.615     
1         0.02661             1.5       
1         0.5205              -1        
1         0.001662            2.209     
1         0.0009022           1.538     
1         0.4326              1.484     
1         0.00465             1.755     
1         0.9917              2.191     
1         0.04822             1.576     
1         0.0002928           1.664     
1         0.0004377           1.474     
1         0.01045             1.469     
1         0.0004673           1.388     
1         0.9678              2.207     
1         0.001499            1.427     
1         0.999               2.197     
1         0.0002185           2.066     
1         0.07129             1.53      
1         0.0006242           1.444     
1         0.1509              1.352     
1         7.021e-05           1.642     
1         0.9907              1.576     
1         0.03708             1.62      
1         0.958               -1        
1         0.1783              -1        
1         0.002857            1.549     
1         0.8447              -1        
1         0.005272            1.453     
1         0.1114              -1        
1         0.01198             2.197     
1         0.02165             1.399     
1         0.6104              1.828     
1         0.9912              1.331     
1         0.8945              1.354     
1         0.6079              1.631     
1         0.0004036           2.074     
1         0.000142            2.615     
1         0.9961              2.393     
1         0.958               1.616     
1         0.7695              3.086     
1         0.4204              1.348     
1         0.002417            1.473     
1         0.3306              1.389     
1         0.0102              -1        
1         0.009361            1.786     
1         0.01415             2.768     
1         0.001017            1.615     
1         0.9995              1.519     
1         0.1172              1.378     
1         0.9995              2.506     
1         0.9888              1.47      
1         0.7002              1.477     
1         0.0003209           2.477     
1         0.1865              1.365     
1         0.999               2.084     
1         0.9238              -1        
1         0.9414              1.84      
1         0.0008292           1.264     
1         0.132               -1        
1         0.9932              1.354     
1         0.9995              1.854     
1         0.365               1.458     
1         0.9976              2.215     
1         0.0005794           2.635     
1         0.1189              1.384     
1         0.3281              1.988     
1         0.4709              1.382     
1         0.999               1.652     
1         0.9795              2.488     
1         0.00192             1.383     
1         0.184               1.8       
1         0.4089              -1        
1         0.0155              2.398     
1         0.9229              2.619     
1         0.002268            1.995     
1         0.1109              1.062     
1         0.0168              1.764     
1         0.000239            1.569     
1         0.5796              1.504     
1         0.9985              1.624     
1         0.5776              1.423     
1         0.436               1.289     
1         0.02081             2.471     
1         0.0002005           1.709     
1         0.9976              1.507     
1         0.1013              2.232     
1         0.001134            -1        
1         0.004322            1.553     
1         0.9995              1.788     
1         0.999               1.545     
1         0.00972             1.513     
1         0.009682            -1        
1         0.006542            1.52      
1         0.2507              -1        
1         0.02                1.604     
1         0.02728             1.536     
1         0.002882            1.674     
1         0.9956              1.522     
1         0.4954              1.924     
1         0.9976              2.082     
1         0.01683             1.593     
1         0.00647             1.642     
1         0.9985              1.969     
1         0.999               1.543     
1         0.9473              2.172     
1         0.9932              1.565     
1         0.07062             -1        
1         0.5435              1.579     
1         0.001149            -1        
1         0.002794            1.729     
1         0.999               1.557     
1         0.9541              1.678     
1         0.1696              1.483     
1         0.236               1.316     
1         0.0001812           2.154     
1         0.6431              1.393     
1         0.0004067           2.168     
1         0.2664              2.002     
1         0.324               1.528     
1         0.07306             1.606     
1         0.9995              1.581     
1         0.1562              1.266     
1         0.0001222           1.633     
1         0.0009675           1.486     
1         0.01327             1.62      
1         0.9912              1.558     
1         0.999               1.886     
1         0.4817              1.92      
1         0.9985              1.753     
1         0.9375              1.566     
1         0.183               -1        
1         0.9639              2.002     
1         0.6729              1.488     
1         0.06879             2.076     
1         0.9883              1.831     
1         0.9995              1.345     
1         0.2001              1.93      
1         0.9966              1.356     
1         0.9326              2.18      
1         0.002728            1.413     
1         0.999               1.429     
1         0.01639             -1        
1         0.9907              1.319     
1         0.02029             1.959     
1         0.0008388           1.519     
1         0.007896            1.686     
1         0.005573            1.375     
1         0.002411            1.572     
1         0.001185            1.553     
1         0.9019              -1        
1         0.9995              1.473     
1         0.003979            -1        
1         0.118               1.789     
1         0.02248             1.706     
1         0.9907              1.55      
1         0.01738             1.704     
1         0.9956              1.659     
1         0.002478            1.592     
1         0.0007358           1.33      
1         0.02989             1.637     
1         0.9951              1.428     
1         0.002047            1.575     
1         0.01197             2.205     
1         0.0001402           2.377     
1         0.791               1.633     
1         6.014e-05           1.99      
1         0.0006237           1.851     
1         0.9844              2.127     
1         0.9985              2.592     
1         0.07086             1.611     
1         0.0002249           1.688     
1         0.9995              2.518     
1         0.2832              2.596     
1         0.9976              1.31      
1         0.0004921           3.557     
1         0.999               1.544     
1         0.8843              1.5       
1         0.09424             2.07      
1         0.04013             1.581     
1         0.9819              2.945     
1         0.0002625           1.139     
1         0.001014            1.727     
1         0.9961              1.414     
1         0.002157            1.488     
1         0.01341             1.658     
1         0.877               1.659     
1         0.001686            1.399     
1         0.1191              2.625     
1         0.9316              2.01      
1         0.7739              1.325     
1         0.3413              1.882     
1         0.007378            2.014     
1         0.998               1.83      
1         6.413e-05           2.51      
1         0.03433             -1        
1         0.896               1.923     
1         0.01912             1.614     
1         0.3557              1.876     
1         0.002848            -1        
1         0.01613             1.633     
1         0.006489            2.328     
1         0.01229             1.522     
1         0.0003591           1.851     
1         0.5923              2.291     
1         0.2246              1.257     
1         0.002142            1.49      
1         0.9839              1.423     
1         0.7476              1.383     
1         0.4004              1.481     
1         0.9985              1.8       
1         0.9932              1.756     
1         0.00123             1.581     
1         0.0004849           1.41      
1         0.004925            1.564     
1         0.9961              1.627     
1         0.005978            1.438     
1         0.01167             1.442     
1         0.1708              -1        
1         0.04749             1.248     
1         0.5942              1.782     
1         0.004536            -1        
1         0.2452              1.451     
1         0.4849              1.506     
1         0.002459            1.51      
1         0.9888              1.743     
1         0.3086              1.809     
1         0.5986              1.327     
1         0.9858              2.305     
1         0.005638            -1        
1         0.00068             1.84      
1         0.5308              -1        
1         0.0007782           1.549     
1         0.005184            1.466     
1         0.9995              1.718     
1         0.7563              2.303     
1         0.000493            1.788     
1         0.998               1.562     
1         0.9961              1.424     
1         0.9951              1.533     
1         0.71                1.447     
1         0.1802              1.538     
1         0.02402             -1        
1         0.9849              1.711     
1         0.998               1.65      
1         0.9941              2.006     
1         0.06119             1.537     
1         0.0128              1.913     
1         0.9805              1.403     
1         0.02809             1.469     
1         0.02812             1.982     
1         0.09534             1.447     
1         0.853               1.852     
1         0.002356            2.271     
1         0.005917            1.697     
1         0.02007             -1        
1         0.999               1.613     
1         0.9902              1.788     
1         0.9883              1.926     
1         0.1713              1.811     
1         0.9985              1.227     
1         0.02428             1.601     
1         0.9995              1.619     
1         0.002718            1.481     
1         0.001163            2.385     
1         0.709               1.309     
1         0.01648             1.436     
1         0.24                1.808     
1         0.5137              -1        
1         0.0791              1.813     
1         0.035               1.732     
1         0.999               1.479     
1         0.9736              -1        
1         0.002239            1.684     
1         0.0007248           -1        
1         0.9868              1.897     
1         0.02098             -1        
1         0.9995              1.502     
1         0.01607             1.037     
1         0.9946              2.746     
1         0.001424            2.152     
1         0.0004375           1.728     
1         0.4116              1.648     
1         0.8491              1.362     
1         0.9736              2.41      
1         0.9995              1.537     
1         0.9995              1.599     
1         0.03378             1.561     
1         0.0002345           1.563     
1         0.397               1.202     
1         0.0006042           1.659     
1         0.004944            1.427     
1         0.000772            1.664     
1         0.001794            2.041     
1         0.5059              2.117     
1         0.999               1.455     
1         0.002172            1.549     
1         0.03983             1.684     
1         0.01227             2.695     
1         0.0003834           -1        
1         0.002062            1.504     
1         0.7759              1.453     
1         0.9995              1.435     
1         0.8379              1.451     
1         0.9043              1.583     
1         0.9995              1.542     
1         0.001457            2.203     
1         0.6426              1.969     
1         0.001076            -1        
1         0.0001833           1.837     
1         0.001533            1.405     
1         0.9561              2.389     
1         0.01469             1.807     
1         0.8755              1.76      
1         0.519               1.438     
1         0.999               1.487     
1         0.0007844           1.493     
1         0.9976              1.585     
1         0.1572              1.54      
1         0.7168              -1        
1         0.007145            -1        
1         0.000474            3.066     
1         0.9023              -1        
1         0.0003326           1.163     
1         0.3601              1.504     
1         0.9912              2.32      
1         0.0007043           1.565     
1         0.8032              1.225     
1         0.1577              1.534     
1         0.001293            2.061     
1         0.0159              1.931     
1         0.0003121           1.958     
1         0.0152              1.237     
1         0.05878             1.616     
1         0.0271              2.066     
1         0.04697             1.548     
1         0.006409            1.368     
1         0.003067            1.464     
1         0.0003848           1.383     
1         0.0006909           1.718     
1         0.9731              1.802     
1         0.9829              1.962     
1         0.01337             1.434     
1         0.9976              -1        
1         0.004543            1.502     
1         0.0002154           1.567     
1         0.03339             1.738     
1         0.002544            1.508     
1         0.999               1.506     
1         0.0002011           2.207     
1         0.00975             1.726     
1         0.8379              1.621     
1         0.05716             1.493     
1         0.001124            1.653     
1         0.9995              1.499     
1         0.8511              1.346     
1         0.5898              1.575     
1         0.002314            1.383     
1         0.4114              2.195     
1         0.9956              1.833     
1         0.02182             1.51      
1         0.4597              2.078     
1         0.02715             1.293     
1         0.9985              1.453     
1         0.9727              1.245     
1         0.9819              2.297     
1         0.3005              1.866     
1         0.8037              2.07      
1         0.998               1.49      
1         0.003477            1.294     
1         0.5908              1.479     
1         0.9976              2.201     
1         0.1219              1.607     
1         0.2563              1.491     
1         0.02005             1.922     
1         0.001181            1.495     
1         0.9995              2.113     
1         0.9937              2.105     
1         0.03769             -1        
1         0.236               2.119     
1         0.000751            1.612     
1         0.957               2.211     
1         0.9951              1.769     
1         0.4053              1.791     
1         0.999               1.704     
1         0.0002427           1.862     
1         0.7778              2.189     
1         0.9873              2.527     
1         0.9995              1.55      
1         0.7031              2.297     
1         0.9995              1.496     
1         0.001545            1.478     
1         0.1041              2.625     
1         0.03503             1.36      
1         0.0009804           -1        
1         0.0002518           2.072     
1         0.9961              1.409     
