index     maxhbbscore         N3B1      
1         0.002113            1.77      
1         0.002958            1.479     
1         0.02037             1.505     
1         0.71                -1        
1         0.9995              1.376     
1         0.01151             1.408     
1         0.02379             1.754     
1         0.05014             1.849     
1         0.08771             -1        
1         0.08545             1.384     
1         0.9922              1.509     
1         0.05392             1.294     
1         0.9995              2.375     
1         0.01244             1.602     
1         0.06036             1.275     
1         0.9214              1.468     
1         0.0001405           2.072     
1         0.2383              1.614     
1         0.158               1.878     
1         0.979               1.636     
1         0.01396             2.271     
1         0.0001575           1.371     
1         0.07007             1.479     
1         0.4712              1.475     
1         0.9634              1.387     
1         0.1388              1.55      
1         0.01985             2.297     
1         0.3364              1.036     
1         0.0002042           1.454     
1         0.0001608           2.852     
1         0.0002034           1.721     
1         0.998               1.574     
1         0.9595              1.578     
1         0.0003605           1.54      
1         0.01347             1.902     
1         0.9971              1.577     
1         0.000204            1.553     
1         0.9556              2.021     
1         0.9829              1.521     
1         0.999               1.685     
1         0.01183             1.998     
1         0.00396             1.522     
1         0.999               -1        
1         0.7241              2.039     
1         0.0005054           2.201     
1         0.001433            1.505     
1         0.04733             1.679     
1         0.001369            1.985     
1         0.8438              1.773     
1         0.1665              2.217     
1         0.03644             2.182     
1         0.00462             1.97      
1         0.001309            1.582     
1         0.03906             1.36      
1         0.00308             1.618     
1         0.008118            1.466     
1         0.3218              1.648     
1         0.003136            1.5       
1         0.06421             1.332     
1         0.2925              -1        
1         0.04123             2.65      
1         0.08887             1.412     
1         0.6978              1.472     
1         0.9995              1.796     
1         0.3518              1.592     
1         0.9995              -1        
1         0.05011             1.615     
1         0.9849              1.521     
1         0.00206             3.373     
1         0.00305             1.258     
1         0.03711             -1        
1         0.791               -1        
1         0.9663              2.26      
1         0.9263              1.191     
1         0.002151            1.507     
1         0.01517             1.349     
1         0.1741              1.627     
1         0.6743              1.522     
1         0.9155              2.35      
1         0.01118             1.402     
1         0.0008874           1.479     
1         0.9995              1.548     
1         0.001645            1.784     
1         0.005493            -1        
1         0.9995              1.474     
1         0.001485            1.965     
1         0.01228             1.236     
1         0.006859            1.662     
1         0.7422              1.811     
1         0.9922              1.712     
1         0.02933             2.148     
1         0.04544             1.529     
1         0.9995              1.759     
1         0.001219            2.723     
1         0.4971              2.691     
1         0.998               1.605     
1         0.06207             1.871     
1         0.1039              1.448     
1         0.0009222           1.492     
1         0.0001808           1.854     
1         0.1451              -1        
1         0.001146            1.71      
1         0.9985              1.548     
1         0.9902              1.286     
1         0.646               -1        
1         0.0004134           1.587     
1         0.999               1.487     
1         0.007671            1.936     
1         0.9492              1.413     
1         0.0005488           2.047     
1         0.02464             1.428     
1         0.0005369           1.623     
1         0.238               1.418     
1         0.00164             2.674     
1         0.01886             2.215     
1         0.07697             1.593     
1         0.999               1.604     
1         0.01038             1.736     
1         0.004578            -1        
1         0.09784             1.964     
1         0.002052            1.994     
1         0.9976              1.58      
1         0.9663              1.74      
1         0.01826             2.328     
1         0.9985              1.523     
1         0.999               1.56      
1         0.001485            1.263     
1         0.999               2.248     
1         0.003044            1.798     
1         6.706e-05           -1        
1         0.01022             1.892     
1         0.0267              1.254     
1         0.1377              -1        
1         0.01591             1.808     
1         0.0005589           2.832     
1         0.001203            1.613     
1         0.8394              -1        
1         0.4299              1.4       
1         0.1653              1.491     
1         0.004234            1.36      
1         0.2739              1.506     
1         0.6992              1.73      
1         0.999               1.562     
1         0.9995              1.53      
1         0.6274              1.423     
1         0.03561             1.574     
1         0.1587              1.616     
1         0.0009003           1.517     
1         0.9976              1.903     
1         0.1243              -1        
1         0.8364              1.464     
1         0.9663              2.033     
1         0.3005              2.373     
1         0.008423            2.053     
1         0.9995              1.291     
1         0.998               1.479     
1         0.9751              1.979     
1         0.9771              1.355     
1         0.9941              1.594     
1         0.003384            1.48      
1         0.0003936           1.609     
1         0.0004284           2.385     
1         0.003077            1.862     
1         0.9995              1.781     
1         0.7939              -1        
1         0.9995              1.604     
1         0.03864             1.497     
1         0.9985              1.462     
1         0.9995              1.471     
1         0.9141              1.438     
1         0.9995              1.667     
1         0.9946              1.709     
1         0.3147              -1        
1         0.01007             1.33      
1         0.3301              1.636     
1         0.1321              1.672     
1         0.981               -1        
1         0.02878             1.692     
1         0.9844              2.029     
1         0.003361            1.611     
1         0.03458             1.517     
1         0.003443            1.678     
1         0.01179             1.551     
1         0.0004022           1.521     
1         0.00114             1.504     
1         0.3547              1.546     
1         0.002193            2.475     
1         0.915               1.538     
1         0.05878             1.528     
1         6.479e-05           2.646     
1         0.1394              -1        
1         0.999               2.1       
1         0.8516              1.691     
1         0.2484              2.418     
1         0.9878              1.366     
1         0.004925            1.273     
1         0.563               1.597     
1         0.01078             2.037     
1         0.001926            1.42      
1         0.0408              1.251     
1         0.9946              1.628     
1         0.03259             1.494     
1         0.9961              2.457     
1         0.003357            2.1       
1         0.9937              2.939     
1         0.0006442           1.314     
1         0.02917             1.62      
