index     maxhbbscore         N3B1      
1         0.1193              1.683     
1         0.2881              1.766     
1         0.9946              0.855     
1         0.006474            1.48      
1         0.0008845           1.862     
1         0.003902            1.303     
1         0.4041              1.59      
1         0.00404             1.706     
1         0.9917              1.662     
1         0.606               1.332     
1         0.0001572           1.822     
1         0.2986              1.879     
1         0.9604              -1        
1         0.002728            2.002     
1         0.005692            2.057     
1         0.6782              -1        
1         0.0002658           1.437     
1         0.3396              -1        
1         0.9941              1.514     
1         0.5645              1.396     
1         0.04196             -1        
1         0.2101              1.882     
1         0.0238              1.394     
1         0.009026            1.494     
1         0.04227             1.93      
1         0.00101             1.511     
1         0.004536            1.596     
1         0.009064            1.328     
1         0.6875              1.397     
1         0.002195            1.5       
1         0.8022              1.642     
1         0.0343              1.625     
1         0.04938             1.309     
1         0.1265              -1        
1         0.1169              1.844     
1         0.4622              -1        
1         0.5811              1.575     
1         0.2245              1.432     
1         0.999               1.742     
1         0.001779            2.006     
1         0.01435             1.355     
1         0.002754            2.23      
1         0.01209             1.664     
1         0.1874              1.779     
1         0.01985             1.49      
1         0.8428              1.521     
1         0.3535              1.599     
1         0.01912             1.83      
1         0.9761              1.333     
1         0.9541              1.772     
1         0.5508              1.811     
1         0.001024            1.48      
1         0.3877              1.564     
1         0.9746              1.396     
1         0.1043              1.44      
1         0.9985              2.275     
1         0.02148             1.576     
1         0.9829              1.306     
1         0.9956              1.629     
1         0.01723             1.588     
1         0.006374            1.33      
1         0.6553              1.581     
1         0.9824              1.991     
1         0.9956              1.776     
1         0.9995              1.938     
1         0.8838              1.438     
1         0.2054              1.39      
1         0.007351            2.455     
1         0.3374              0.197     
1         0.5327              1.799     
1         0.1782              1.512     
1         0.8198              1.798     
1         0.999               1.505     
1         0.004349            1.624     
1         0.015               2.203     
1         0.02785             1.398     
1         0.0008612           1.396     
1         0.002653            2.113     
1         0.9937              1.947     
1         0.05151             1.738     
1         0.224               -1        
1         0.5073              1.605     
1         0.998               1.53      
1         5.984e-05           1.749     
1         0.9946              2.117     
1         0.02708             1.484     
1         0.3159              1.902     
1         0.9785              2.02      
1         0.007881            1.406     
1         0.9844              -1        
1         0.5283              -1        
1         0.003046            1.636     
1         0.9414              2.188     
1         0.9146              1.437     
1         0.1403              2.125     
1         0.645               1.509     
1         0.008492            2.166     
1         0.6514              1.677     
1         0.4768              1.441     
1         0.02095             1.528     
1         0.8408              1.686     
1         0.009796            1.263     
1         0.1054              2.277     
1         0.9976              2.311     
1         0.9946              1.583     
1         0.9985              1.561     
1         0.006126            1.854     
1         0.9985              1.46      
1         0.116               2.057     
1         0.981               1.512     
1         0.1018              1.632     
1         0.998               1.463     
1         0.003731            -1        
1         0.01897             2.863     
1         7.647e-05           1.751     
1         0.9995              1.453     
1         0.04147             1.748     
1         0.01118             1.732     
1         0.6509              1.403     
1         0.0001473           1.494     
1         0.9995              1.438     
1         0.02188             1.528     
1         0.0197              1.562     
1         0.03513             1.57      
1         0.002054            2.18      
1         0.2306              1.911     
1         0.9048              2.111     
1         0.2401              0.4858    
1         0.9932              1.461     
1         0.3772              1.275     
1         0.3269              1.453     
1         0.168               1.495     
1         0.9941              1.432     
1         0.3914              1.615     
1         0.3821              1.42      
1         0.5454              1.651     
1         0.002396            -1        
1         0.01855             -1        
1         0.4326              1.509     
1         0.04648             1.575     
1         0.9985              2.014     
1         0.9976              2.379     
1         0.9688              1.167     
1         0.9985              1.3       
1         0.002411            -1        
1         0.003033            1.455     
1         0.01021             1.68      
1         0.01183             1.156     
1         0.4409              -1        
1         0.7495              1.367     
1         0.005939            1.582     
1         0.9995              1.787     
1         0.0003121           1.728     
1         0.8188              1.7       
1         0.9961              3.258     
1         0.915               1.343     
1         0.05295             1.527     
1         0.0003076           2.369     
1         0.9819              1.474     
1         0.1443              1.31      
1         0.999               1.645     
1         0.6118              2.355     
1         0.1547              1.513     
1         0.1125              1.744     
1         0.03394             1.634     
1         0.002539            -1        
1         0.02977             1.605     
1         0.00349             1.454     
1         0.026               1.589     
1         0.9512              2.324     
1         0.006298            2.291     
1         0.001499            1.658     
1         0.1268              1.445     
1         0.9985              2.74      
