index     maxhbbscore         N3B1      
1         0.002243            -1        
1         0.0495              2.92      
1         0.3105              -1        
1         0.1368              2.117     
1         0.001098            1.368     
1         0.9565              1.537     
1         0.009178            1.665     
1         1.973e-05           1.596     
1         0.002781            1.57      
1         0.9097              1.317     
1         0.9985              2.105     
1         0.9551              1.801     
1         0.9956              1.786     
1         0.02698             1.81      
1         0.52                1.491     
1         0.9995              1.988     
1         0.004845            2.338     
1         0.01244             1.226     
1         0.1906              1.34      
1         0.0008478           1.899     
1         0.1818              1.454     
1         0.0354              -1        
1         0.999               1.612     
1         0.1279              -1        
1         0.001204            1.215     
1         0.06757             1.916     
1         0.2037              1.518     
1         0.9497              1.352     
1         0.9966              1.456     
1         0.1893              1.715     
1         0.376               1.328     
1         0.261               -1        
1         0.0004432           -1        
1         0.9878              1.68      
1         0.01752             1.443     
1         0.2805              1.976     
1         0.437               2.473     
1         0.9995              1.666     
1         0.0009565           3.295     
1         0.9941              1.349     
1         0.0002792           1.747     
1         0.0002338           2.1       
1         0.01906             1.906     
1         0.0001808           1.566     
1         0.04788             1.494     
1         0.01147             -1        
1         0.002293            1.446     
1         0.9985              1.698     
1         3.889e-05           2.369     
1         0.007828            1.777     
1         0.9258              1.723     
1         0.09033             2.643     
1         0.01264             1.662     
1         0.01085             1.984     
1         0.006847            1.419     
1         0.005363            1.66      
1         0.9775              1.885     
1         0.999               1.317     
1         0.003168            -1        
1         0.003099            1.844     
1         0.02403             1.505     
1         0.5908              1.455     
1         0.0003662           1.451     
1         0.05084             1.334     
1         0.9966              1.451     
1         0.9985              1.602     
1         0.7173              1.66      
1         0.001959            -1        
1         0.0001295           1.428     
1         0.03177             1.408     
1         0.0001016           2.059     
1         0.999               1.589     
1         0.001209            1.626     
1         0.9941              1.506     
1         0.02086             1.53      
1         0.9995              1.512     
1         0.4077              -1        
1         0.9961              1.448     
1         0.01337             1.54      
1         0.09528             1.982     
1         0.002541            1.617     
1         0.1946              1.605     
1         0.7349              1.622     
1         0.00102             2.178     
1         0.9971              1.604     
1         0.9932              2.252     
1         0.0002885           2.148     
1         0.7085              2.279     
1         0.9995              1.716     
1         0.9521              1.435     
1         0.999               1.634     
1         0.03799             1.69      
1         0.0001194           1.459     
1         0.0009561           2.295     
1         0.9917              1.388     
1         0.02133             1.624     
1         0.0002983           1.947     
1         3.359e-05           1.561     
1         0.09393             1.562     
1         0.002762            1.565     
1         0.007114            1.534     
1         0.002913            2.781     
1         0.9995              1.442     
1         0.9746              1.466     
1         0.001808            1.366     
1         0.001974            1.385     
1         0.8711              -1        
1         0.7964              1.535     
1         0.8667              1.59      
1         0.0006781           1.544     
1         0.03082             1.769     
1         0.2241              1.626     
1         0.005146            1.741     
1         0.1097              1.434     
1         0.001957            1.645     
1         0.06995             2.094     
1         0.004707            1.823     
1         0.002325            -1        
1         0.0009089           1.451     
1         0.1387              1.431     
1         0.9917              2.113     
1         0.6011              -1        
1         0.3259              1.532     
1         0.0001345           1.925     
1         0.4331              1.485     
1         0.3989              1.781     
1         1.912e-05           2.668     
1         0.01157             1.34      
1         0.9995              1.459     
1         0.0192              1.766     
1         0.001417            1.307     
1         0.9893              -1        
1         0.04877             1.508     
1         0.9995              1.991     
1         0.999               1.435     
1         0.9995              1.437     
1         0.004051            1.721     
1         0.163               -1        
1         0.999               1.588     
1         0.0007534           -1        
1         0.0006609           1.506     
1         0.01393             0.957     
1         0.00218             -1        
1         0.9268              1.845     
1         0.2402              -1        
1         0.1461              1.644     
1         0.05136             -1        
1         0.01875             -1        
1         0.001025            1.571     
1         0.0003068           1.391     
1         0.2717              1.599     
1         0.2886              -1        
1         0.08319             1.389     
1         0.9941              -1        
1         0.9922              1.699     
1         0.009262            1.647     
1         0.005802            -1        
1         0.02826             2.078     
1         6.962e-05           1.982     
1         0.001814            -1        
1         0.9966              2.102     
1         0.9966              1.538     
1         0.9844              1.555     
1         0.1411              2.375     
1         0.9985              1.405     
1         0.0003853           1.115     
1         0.1494              1.572     
1         0.9805              -1        
1         0.04434             1.904     
1         0.0003242           -1        
1         0.01776             1.411     
1         0.006252            -1        
1         0.9995              1.595     
1         0.9868              1.622     
1         0.7622              1.75      
1         0.0006108           1.77      
1         0.0003879           1.6       
1         0.04385             1.639     
1         0.8926              1.135     
1         0.02263             2.072     
1         0.0006514           1.776     
1         0.005119            1.341     
1         0.9995              1.941     
1         0.04105             1.397     
1         0.6172              1.5       
1         0.0005012           1.312     
1         0.5117              1.575     
1         0.998               1.555     
1         0.9312              2.418     
