index     maxhbbscore         N3B1      
1         0.001274            1.395     
1         0.9771              1.494     
1         0.006767            1.575     
1         0.002672            2.775     
1         0.0002661           2.119     
1         0.7954              1.623     
1         0.05594             1.538     
1         0.005161            -1        
1         0.0004575           2.105     
1         0.9995              1.571     
1         0.1068              1.432     
1         4.506e-05           1.495     
1         0.02434             1.279     
1         0.1083              -1        
1         0.01029             1.816     
1         0.06281             1.53      
1         0.000525            1.571     
1         0.9985              2.619     
1         0.9961              2.586     
1         0.1725              3.365     
1         0.01205             1.451     
1         0.7485              1.593     
1         0.8232              -1        
1         0.9971              1.547     
1         0.002827            1.488     
1         0.01671             1.364     
1         0.6865              1.457     
1         0.0008664           1.889     
1         0.002218            2.758     
1         0.8301              2.098     
1         0.0001837           1.167     
1         0.02084             1.53      
1         0.9995              1.392     
1         0.9995              1.49      
1         0.002655            1.453     
1         0.04462             -1        
1         0.0005846           1.343     
1         0.9995              1.524     
1         0.9434              1.503     
1         0.003525            -1        
1         0.9331              1.454     
1         0.9937              -1        
1         0.9951              1.263     
1         0.2473              2.082     
1         0.9951              1.298     
1         0.002865            1.537     
1         0.9902              1.385     
1         0.9995              2.021     
1         0.7471              1.491     
1         0.00205             -1        
1         0.006996            -1        
1         0.02493             2.506     
1         0.9995              1.563     
1         0.7681              1.502     
1         0.006638            1.649     
1         0.9995              1.721     
1         0.9785              1.884     
1         0.001227            1.967     
1         0.2837              1.501     
1         0.9497              1.535     
1         0.003618            1.481     
1         0.3926              -1        
1         0.998               1.598     
1         0.3342              1.513     
1         0.004787            1.546     
1         0.00943             1.685     
1         0.3962              -1        
1         0.999               1.953     
1         0.0002053           2.084     
1         0.9995              1.488     
1         0.1335              1.598     
1         0.9995              1.455     
1         0.313               1.597     
1         0.0005813           1.729     
1         0.9995              1.69      
1         0.00293             1.623     
1         0.7119              1.572     
1         0.007053            1.631     
1         0.9966              1.764     
1         0.9956              1.6       
1         0.03564             1.429     
1         0.9951              1.611     
1         0.9443              1.849     
1         0.01011             -1        
1         0.1479              1.456     
1         0.2201              1.606     
1         0.7524              1.567     
1         0.9927              1.545     
1         0.9937              2.783     
1         0.00155             2.451     
1         0.4202              -1        
1         0.9238              1.547     
1         0.9268              1.959     
1         0.9927              1.522     
1         0.002438            -1        
1         0.006756            1.857     
1         0.0004156           2.836     
1         0.9873              1.608     
1         0.02972             -1        
1         0.9995              1.515     
1         0.0005875           1.538     
1         0.166               1.671     
1         0.01461             2.234     
1         0.9976              1.588     
1         0.2664              1.625     
1         0.03555             1.842     
1         0.006298            1.599     
1         0.9595              1.403     
1         0.1757              1.396     
1         0.9995              1.709     
1         0.001955            1.48      
1         0.2499              1.341     
1         0.2732              -1        
1         0.2408              1.488     
1         0.0003898           1.709     
1         0.9409              1.426     
1         0.7827              -1        
1         0.5811              2.072     
1         0.0126              1.405     
1         0.0238              1.904     
1         0.05038             -1        
1         0.02658             -1        
1         0.003429            1.462     
1         0.2837              1.421     
1         0.02013             -1        
1         0.05826             1.694     
1         0.9302              2.107     
1         0.0004754           1.69      
1         0.7026              1.79      
1         0.999               1.757     
1         0.5947              1.543     
1         0.01077             2.285     
