index     maxhbbscore         N3B1      
1         0.00231             1.574     
1         0.08453             1.593     
1         0.9956              1.465     
1         0.9873              1.638     
1         0.08649             -1        
1         0.007267            1.755     
1         0.0001411           1.79      
1         0.1473              1.509     
1         0.0002352           1.651     
1         0.2754              1.95      
1         0.001838            1.431     
1         0.03059             1.932     
1         0.01439             1.97      
1         0.06873             1.388     
1         0.01479             -1        
1         0.7632              -1        
1         0.09735             1.988     
1         0.9985              1.432     
1         0.002495            2.338     
1         0.0003767           1.599     
1         0.0005679           1.396     
1         0.0001507           1.474     
1         0.003801            1.599     
1         0.729               -1        
1         0.355               1.575     
1         0.001204            1.367     
1         0.02599             1.619     
1         0.03476             1.407     
1         0.936               1.497     
1         0.01012             -1        
1         0.0007591           1.575     
1         0.002817            -1        
1         0.008522            1.556     
1         0.4082              1.495     
1         0.004143            1.81      
1         0.0007629           1.759     
1         0.6567              1.883     
1         0.999               2.396     
1         0.04486             -1        
1         0.2683              3.094     
1         0.9746              1.829     
1         0.001594            1.656     
1         0.3584              -1        
1         0.5039              1.353     
1         0.02095             3.164     
1         0.002058            1.709     
1         0.563               1.637     
1         0.5776              -1        
1         0.9956              1.666     
1         0.9995              1.556     
1         0.0968              1.687     
1         0.01981             1.289     
1         0.999               1.888     
1         0.9629              1.821     
1         0.01022             2.127     
1         0.4458              1.539     
1         0.9697              1.95      
1         0.9722              1.155     
1         0.8955              1.411     
1         0.835               1.258     
1         0.999               1.43      
1         0.007286            2.479     
1         0.8911              1.646     
1         0.0007534           1.385     
1         0.3872              1.396     
1         0.9985              1.595     
1         8.148e-05           1.523     
1         0.007439            1.488     
1         0.0003505           1.459     
1         0.000131            1.506     
1         0.01052             1.513     
1         0.0001625           2.199     
1         0.9863              1.381     
1         0.8242              1.415     
1         0.9893              1.625     
1         0.8433              1.603     
1         0.1873              1.785     
1         0.999               1.588     
1         0.01073             1.377     
1         0.9067              1.695     
1         0.001485            1.894     
1         0.05588             1.48      
1         0.1077              1.439     
1         0.0007901           3.492     
1         0.0004027           1.604     
1         0.9868              1.531     
1         0.001819            2.08      
1         0.9976              2.271     
1         0.2097              1.361     
1         0.7954              -1        
1         0.8184              -1        
1         0.05383             1.36      
1         0.999               1.377     
1         0.06635             -1        
1         0.9995              1.448     
1         0.4248              -1        
1         0.000172            1.116     
1         0.00135             1.566     
1         0.02884             -1        
1         0.004265            -1        
1         0.9536              1.366     
1         0.1105              1.781     
1         0.001036            1.337     
1         0.0007215           1.472     
1         0.01197             1.5       
1         0.001109            1.842     
1         0.9976              1.491     
1         0.999               1.76      
1         0.8403              1.589     
1         0.9922              1.338     
1         0.2529              1.503     
1         0.01426             2.23      
1         0.002735            1.85      
1         0.0003972           1.581     
1         0.9907              1.719     
1         0.9995              1.305     
1         0.9995              1.446     
1         0.000493            2.027     
1         0.07233             1.665     
1         0.9517              -1        
1         0.999               2.504     
1         0.02451             -1        
1         0.009842            1.603     
1         0.999               1.691     
1         0.009712            -1        
1         0.005173            1.365     
1         0.1997              1.499     
1         0.0002401           1.8       
1         0.6694              1.542     
1         0.9268              1.395     
1         0.0001738           1.602     
1         0.0004523           2.109     
1         0.999               1.714     
1         0.01234             1.706     
1         0.812               1.149     
1         0.9839              1.949     
1         0.0003474           -1        
1         0.8545              2.512     
1         0.6694              1.492     
1         0.9077              1.985     
1         0.9995              1.676     
1         0.2925              1.343     
1         0.8691              1.434     
1         0.005379            1.632     
1         0.03275             1.602     
1         0.06311             1.461     
1         0.9995              1.553     
1         0.001571            2.211     
1         0.9575              1.343     
1         0.8789              1.558     
1         0.9976              1.595     
1         0.003542            2.25      
1         0.9897              1.441     
1         0.999               1.543     
1         0.007778            1.802     
1         0.01357             1.721     
1         0.9995              1.389     
1         0.02248             1.686     
1         0.1436              1.624     
1         0.9756              2.342     
1         0.00946             1.437     
1         0.115               1.26      
1         0.007645            2.379     
1         0.05786             1.412     
1         0.1411              -1        
1         0.065               1.402     
1         0.002602            1.529     
1         0.8628              -1        
1         0.9995              1.488     
1         0.3169              1.515     
1         0.9917              1.241     
1         0.0005507           1.564     
1         0.005116            1.524     
1         0.2769              1.951     
1         0.1812              1.715     
1         0.00111             1.66      
1         0.0151              2.143     
1         0.8911              1.445     
1         0.06897             1.398     
1         0.999               1.704     
1         0.07654             1.921     
1         0.007423            1.451     
1         0.002272            -1        
1         0.001885            -1        
1         0.07343             1.63      
1         0.02492             1.665     
1         0.9668              2.389     
1         0.005295            2.141     
1         0.8506              1.774     
1         0.8486              1.552     
1         0.00407             1.454     
1         0.009651            1.885     
1         0.957               1.992     
1         0.0002701           1.273     
1         0.9971              1.942     
1         0.9971              1.496     
1         0.9893              1.417     
1         0.005814            1.515     
1         0.005161            1.459     
1         0.2018              1.584     
1         0.999               1.989     
1         0.9941              1.568     
1         0.01176             1.388     
1         0.2427              1.428     
1         0.2544              1.961     
1         0.01884             -1        
1         0.7119              1.554     
1         0.06378             -1        
1         0.07013             -1        
1         0.0002506           1.562     
1         0.999               1.515     
1         0.4065              1.062     
1         0.006016            1.926     
1         0.4351              -1        
1         0.05704             1.551     
1         0.6528              2.021     
1         0.9639              1.488     
1         0.0005159           1.353     
1         0.03137             1.487     
1         0.0001093           1.866     
