index     maxhbbscore         N3B1      
1         0.9995              1.521     
1         0.4863              1.945     
1         0.000118            2.049     
1         0.9966              1.502     
1         0.9995              2.197     
1         0.003111            0.9678    
1         0.0008402           -1        
1         0.9917              2.637     
1         0.9995              1.379     
1         0.4917              1.867     
1         0.0145              1.606     
1         0.1569              1.55      
1         0.001155            1.479     
1         0.8398              1.894     
1         0.06885             1.496     
1         0.04465             -1        
1         0.05704             1.419     
1         0.002838            1.999     
1         0.0004468           1.486     
1         0.3926              1.581     
1         0.9995              1.685     
1         0.9844              1.717     
1         0.001952            -1        
1         0.1682              1.564     
1         0.02641             1.489     
1         0.998               1.707     
1         0.02039             1.471     
1         0.0006614           1.538     
1         0.05823             2.148     
1         0.007744            1.48      
1         0.2278              1.697     
1         0.003407            -1        
1         0.7275              2.789     
1         0.4163              1.288     
1         0.4185              1.648     
1         0.9917              1.13      
1         0.001447            1.607     
1         0.9976              2.422     
1         0.9995              1.711     
1         0.0002971           1.62      
1         0.8994              1.715     
1         0.9995              1.711     
1         0.01089             2.176     
1         0.9995              1.72      
1         0.07544             -1        
1         0.999               1.441     
1         0.0556              1.531     
1         0.02161             -1        
1         0.9985              -1        
1         0.9956              3.432     
1         0.1819              1.898     
1         0.0001814           1.65      
1         0.2363              1.415     
1         0.03131             -1        
1         0.4829              1.376     
1         0.9995              1.486     
1         0.0002292           1.986     
1         0.2118              1.357     
1         0.9985              1.508     
1         0.9995              1.824     
1         0.2285              -1        
1         0.003262            1.628     
1         0.9087              1.526     
1         0.9995              1.998     
1         0.01527             1.288     
1         0.6768              -1        
1         0.2344              1.464     
1         0.223               2.029     
1         0.999               1.949     
1         0.999               1.479     
1         0.003876            -1        
1         0.00396             1.582     
1         0.2458              1.458     
1         0.001201            -1        
1         0.06421             1.319     
1         0.999               1.584     
1         0.006176            1.757     
1         0.5488              1.549     
1         0.9995              1.495     
1         0.00267             1.727     
1         0.001391            1.542     
1         0.9731              1.818     
1         0.2435              1.462     
1         0.9922              2.209     
1         0.002058            1.463     
1         0.999               2.045     
1         0.9609              1.793     
1         0.2327              1.481     
1         0.8628              2.229     
1         0.9951              -1        
1         0.9971              2.111     
1         0.0001119           1.441     
1         0.008751            -1        
1         0.0005941           -1        
1         0.008072            1.588     
1         0.001939            1.27      
1         0.7793              1.503     
1         0.9985              1.359     
1         0.00766             -1        
1         0.001121            1.494     
1         0.1267              1.854     
1         0.04028             1.156     
1         0.8423              1.553     
1         0.9922              1.649     
1         0.0003901           1.583     
1         0.9995              1.586     
1         0.2622              1.81      
1         0.9995              -1        
1         0.1322              2.061     
1         0.001925            1.476     
1         0.1958              1.315     
1         0.9937              1.575     
1         0.08606             1.651     
1         0.002804            2.43      
1         0.3088              -1        
1         0.0001607           2.197     
1         0.06223             1.593     
1         0.01942             1.238     
1         0.001748            1.83      
1         0.09143             1.457     
1         0.999               1.562     
1         0.05838             1.479     
1         0.0004425           1.618     
1         0.6533              -1        
1         0.01266             2.668     
1         0.9717              -1        
1         0.9971              2.129     
1         0.001392            1.445     
1         0.0003321           1.574     
1         0.002325            2.213     
1         0.9976              1.396     
1         0.9971              1.749     
1         0.4902              1.517     
1         0.02611             -1        
1         0.999               1.696     
1         0.1321              1.949     
1         0.2627              1.613     
1         0.2195              1.45      
1         0.0006862           1.507     
1         6.855e-05           1.377     
1         0.005001            1.361     
1         0.999               2.068     
1         0.9976              1.319     
1         0.9907              1.582     
1         0.01698             1.623     
1         0.999               1.882     
1         0.0001719           1.838     
1         0.998               1.627     
1         0.999               1.655     
1         0.9995              2.197     
1         0.9995              1.565     
1         0.7534              1.656     
1         0.006699            1.613     
1         0.09131             1.982     
1         0.2177              1.594     
1         0.008247            1.299     
1         0.8721              -1        
1         0.9966              2.111     
1         0.003496            1.619     
1         0.003321            2.68      
1         0.3264              1.521     
1         0.03497             1.492     
1         0.001722            2.73      
1         0.0136              1.73      
1         0.2732              2.559     
1         0.9971              1.533     
1         0.0004072           2.195     
1         0.001371            1.725     
1         8.881e-05           1.246     
1         0.04935             1.496     
1         0.004677            2.301     
1         0.9639              1.47      
1         0.0009232           1.66      
1         0.0107              -1        
1         0.6792              2.775     
1         0.1569              1.227     
1         0.01024             1.516     
1         0.0003092           1.438     
1         0.1207              1.518     
1         0.4109              2.387     
1         0.9995              1.656     
1         0.9995              -1        
1         0.9995              1.612     
1         0.0001781           1.409     
1         0.0003273           2.422     
1         0.0014              1.445     
1         0.1399              2.494     
1         0.9995              1.628     
1         0.9971              2.293     
1         0.0004537           -1        
1         0.002123            1.908     
1         0.04141             1.334     
1         0.646               1.444     
1         0.06909             1.743     
1         0.9976              1.75      
1         0.09369             1.384     
1         0.001719            1.353     
1         0.01154             2.342     
1         0.4165              2.32      
1         0.998               1.398     
1         0.9858              -1        
1         0.0002104           1.527     
1         0.8696              1.363     
1         0.4939              -1        
1         0.5107              1.622     
1         0.08795             2.184     
1         0.6348              1.437     
1         0.003077            1.188     
1         0.002811            1.554     
1         0.4932              1.827     
1         0.9302              1.602     
1         0.7651              1.41      
1         0.8701              1.567     
1         0.9688              1.465     
1         0.007168            1.889     
1         0.4272              1.887     
1         0.003708            -1        
1         0.4304              1.389     
1         0.9907              1.646     
1         0.9976              1.303     
1         0.02228             1.51      
1         0.1951              1.197     
1         0.8525              -1        
1         0.0008354           1.534     
1         0.08105             1.345     
1         0.999               1.996     
1         0.01831             1.798     
1         0.01005             1.423     
1         0.6069              1.586     
1         0.009178            -1        
1         0.02408             1.479     
1         0.0006065           2.068     
1         0.979               1.455     
1         0.8877              1.561     
1         0.9976              1.42      
1         0.0001069           1.373     
1         0.0009823           1.375     
1         0.405               -1        
1         0.0007405           1.351     
1         0.0008688           2.111     
1         0.008522            1.906     
1         0.2786              1.568     
1         0.0003464           1.863     
1         0.01217             -1        
1         0.0005922           1.622     
1         0.0002747           1.38      
1         0.3674              1.912     
1         0.9819              1.572     
1         0.001849            1.629     
1         0.9844              2.189     
1         0.002178            -1        
1         0.000224            2.994     
1         0.6753              1.39      
1         0.9424              1.737     
1         0.9995              2.461     
1         0.2795              1.528     
