index     maxhbbscore         N3B1      
1         0.02943             1.279     
1         0.002558            2.162     
1         0.008972            -1        
1         0.007114            1.604     
1         0.03882             1.697     
1         0.9365              1.486     
1         0.0001873           1.488     
1         0.6816              2.346     
1         0.998               2.209     
1         0.7334              1.417     
1         0.999               1.528     
1         0.03516             2.432     
1         0.004406            1.79      
1         0.000144            1.713     
1         0.5708              -1        
1         0.3787              1.145     
1         0.0008469           1.619     
1         0.6655              2.029     
1         0.9995              1.513     
1         0.0003471           1.455     
1         0.2275              1.527     
1         0.000824            1.422     
1         0.6587              1.236     
1         0.006027            1.522     
1         0.2207              -1        
1         0.001264            -1        
1         0.007805            2.059     
1         0.0006113           1.552     
1         0.3789              1.527     
1         0.9995              1.522     
1         0.0233              1.724     
1         0.3469              1.388     
1         0.0611              1.337     
1         0.1609              1.525     
1         0.9971              1.597     
1         0.9971              1.623     
1         0.6357              1.722     
1         0.1287              1.82      
1         0.003405            1.356     
1         0.96                1.778     
1         0.9927              2.248     
1         0.01375             2.57      
1         0.5688              -1        
1         0.9961              1.659     
1         0.9995              1.339     
1         0.9995              1.575     
1         0.9834              1.532     
1         0.9136              1.661     
1         0.998               2.221     
1         0.09058             1.53      
1         0.9458              1.324     
1         0.9624              1.699     
1         0.9995              1.578     
1         0.999               1.527     
1         0.0001673           1.448     
1         0.00811             2.627     
1         0.0006137           -1        
1         0.0003645           1.52      
1         0.9995              1.784     
1         0.002182            1.598     
1         0.23                1.443     
1         0.002712            1.534     
1         0.004436            1.441     
1         0.9985              1.626     
1         0.1619              1.44      
1         0.9795              2.84      
1         0.0005374           2.135     
1         0.1678              1.453     
1         0.005264            1.416     
1         0.8926              1.969     
1         0.9966              1.783     
1         0.7085              1.511     
1         0.6973              1.641     
1         0.01741             1.623     
1         0.9995              1.206     
1         0.08807             -1        
1         0.999               1.788     
1         0.9985              2.018     
1         0.9854              1.45      
1         0.01086             1.371     
1         0.002234            1.568     
1         0.6855              1.963     
1         0.04779             1.526     
1         0.9912              2.24      
1         2.852e-05           1.963     
1         0.01682             2.449     
1         0.3079              1.419     
1         0.0191              1.701     
1         0.0372              1.679     
1         0.9995              1.579     
1         0.8325              1.487     
1         0.4714              -1        
1         0.9995              1.56      
1         0.000478            1.686     
1         0.998               1.657     
1         0.4526              1.58      
1         0.0004687           2.045     
1         0.015               1.644     
1         0.0007768           1.288     
1         0.0181              1.717     
1         0.002439            1.828     
1         0.0007973           1.942     
1         0.9126              1.985     
1         0.8921              1.914     
1         0.01546             2.051     
1         0.6147              1.825     
1         0.03998             1.569     
1         0.0003448           2.012     
1         0.999               1.534     
1         0.004986            -1        
1         0.0001839           1.66      
1         0.1448              1.41      
1         0.07922             1.399     
1         0.01099             1.782     
1         0.999               1.742     
1         0.06677             1.504     
1         3.976e-05           1.765     
1         0.9292              2.094     
1         0.8481              1.27      
1         0.003525            1.669     
1         0.001088            1.988     
1         0.8452              1.562     
1         0.001587            2.789     
1         0.001028            -1        
1         0.08411             1.545     
1         0.2063              1.242     
1         0.1874              1.549     
1         0.07971             1.599     
1         0.0009899           2.521     
1         0.9829              2.102     
1         0.1661              1.496     
1         0.2634              1.398     
1         0.9966              1.384     
1         0.4102              -1        
1         0.04651             1.417     
1         0.6597              1.422     
1         0.3486              1.285     
1         0.0008831           1.405     
1         0.2098              1.21      
1         0.8276              1.619     
1         0.2986              1.552     
1         0.8042              1.691     
1         0.0002503           1.598     
1         0.9995              1.733     
1         0.998               1.164     
1         0.08319             1.617     
1         0.2988              1.589     
1         0.002062            1.258     
1         0.895               2.395     
1         0.003628            1.413     
1         0.9976              2.189     
1         0.003571            -1        
1         0.5879              1.644     
1         0.005287            -1        
1         0.9863              2.131     
1         0.998               1.266     
1         0.9985              1.554     
1         0.001043            -1        
1         0.7783              1.239     
1         0.09351             1.488     
1         0.04608             1.455     
1         0.08777             1.746     
1         0.165               1.687     
1         0.999               1.476     
1         0.03543             1.558     
1         0.02167             -1        
1         0.9985              2.246     
1         0.00668             2.08      
1         0.9995              1.233     
1         0.02425             1.669     
1         0.1593              -1        
1         0.0001271           2.68      
1         0.0005388           1.564     
1         0.009384            -1        
1         0.1655              1.593     
1         0.09271             1.668     
1         0.6079              1.619     
1         0.0007215           1.844     
1         0.0003822           1.567     
1         0.9951              2.059     
1         0.005096            1.628     
1         0.004261            1.512     
1         0.00131             2.523     
1         0.9985              1.688     
1         0.001253            2.666     
1         0.001218            -1        
1         0.5405              1.619     
1         0.000381            2.133     
1         0.9971              1.407     
1         0.1525              1.499     
1         0.004818            1.634     
1         0.002419            2.789     
1         0.7808              2.355     
1         0.01804             1.484     
1         0.1375              1.595     
1         0.7134              -1        
1         0.9429              2.807     
1         0.9336              1.475     
1         0.001246            1.702     
1         0.02777             1.75      
1         0.004452            1.577     
1         0.0006576           1.986     
1         0.008118            1.436     
1         0.01141             1.668     
1         0.9971              1.243     
1         0.9995              1.394     
1         0.0118              1.517     
1         0.2998              1.538     
1         0.9502              1.525     
1         0.999               1.614     
1         0.002171            -1        
1         0.9985              1.441     
1         0.000224            1.572     
1         0.000936            1.428     
1         0.9351              1.553     
1         0.004345            1.301     
1         0.6914              1.419     
1         0.8066              1.859     
1         0.998               1.575     
1         0.001114            1.485     
1         0.9741              1.628     
1         0.0003448           2.037     
1         0.9048              -1        
1         0.2036              1.365     
1         0.999               1.635     
1         0.1361              1.721     
1         0.00271             1.627     
1         0.9224              1.606     
1         0.688               -1        
1         0.2783              1.479     
1         0.00275             1.495     
1         0.2267              2.252     
1         0.1131              -1        
1         0.9917              1.401     
1         0.003256            1.691     
1         0.008629            1.573     
1         0.0002968           1.988     
1         0.05603             2.277     
1         0.3406              2.293     
1         0.0002949           1.606     
1         0.9961              1.63      
1         0.0002997           2.408     
1         0.04761             1.567     
1         0.0008249           -1        
1         0.1951              1.274     
1         0.01878             1.435     
1         0.8618              1.468     
1         0.5698              -1        
1         0.0005951           1.478     
1         0.003437            1.817     
1         0.9814              2.279     
1         0.2893              1.871     
1         0.103               -1        
1         0.0008435           -1        
1         9.894e-05           1.834     
1         0.9995              1.499     
1         0.01008             1.517     
1         0.9995              2.307     
1         0.1698              1.583     
1         0.9883              1.68      
1         0.2668              1.448     
1         0.02266             -1        
1         0.0386              1.934     
1         0.8345              -1        
1         0.9888              -1        
1         0.6899              -1        
1         0.9995              1.328     
1         0.999               1.62      
1         0.001321            1.547     
1         0.7905              1.78      
1         0.6509              1.532     
1         0.978               1.714     
1         0.9795              1.952     
1         0.02249             1.633     
1         0.9868              2.066     
1         0.03458             1.808     
1         0.999               2.033     
1         0.02977             2.164     
1         0.0008521           1.324     
1         0.01545             1.965     
1         0.02736             1.79      
1         0.9985              1.535     
1         0.5991              -1        
1         0.0769              2.883     
1         0.1793              1.315     
1         0.9961              1.697     
1         0.04593             1.427     
1         0.6729              1.224     
1         0.998               2.15      
1         0.9995              1.671     
1         0.1603              1.704     
1         0.02852             1.689     
1         0.9995              1.547     
1         0.9995              1.563     
1         7.82e-05            1.994     
1         0.001058            -1        
1         0.9985              1.244     
1         0.979               2.945     
1         0.9995              2.689     
1         0.004707            1.762     
1         0.002466            1.673     
1         0.9995              2.029     
1         0.9995              1.522     
1         0.4333              1.426     
1         0.0009184           1.9       
1         0.003424            -1        
1         8.804e-05           1.521     
1         0.00843             1.385     
1         0.004272            1.666     
1         0.1366              1.464     
1         0.0005903           1.455     
