index     maxhbbscore         N3B1      
1         0.01437             1.945     
1         0.9985              2.268     
1         0.9946              1.732     
1         0.001744            1.314     
1         0.9829              2.779     
1         0.0001628           2.783     
1         0.9956              1.521     
1         0.02219             -1        
1         0.003042            -1        
1         0.02278             1.194     
1         0.02271             1.581     
1         0.9995              1.328     
1         0.007324            -1        
1         0.9873              1.829     
1         0.9956              1.912     
1         0.0001343           2.238     
1         0.0006609           1.267     
1         0.0002215           1.455     
1         0.003372            1.912     
1         0.2983              1.478     
1         0.01852             1.382     
1         0.0004182           2.035     
1         0.9893              -1        
1         0.8452              1.805     
1         0.01356             1.818     
1         0.00872             2.252     
1         0.9976              1.469     
1         0.9995              1.433     
1         0.5518              2.494     
1         0.1011              1.524     
1         0.9902              1.729     
1         0.4541              1.482     
1         0.0003974           1.477     
1         0.9985              1.618     
1         0.8281              2.33      
1         0.998               2.393     
1         0.4534              1.47      
1         0.02673             1.203     
1         0.9883              1.506     
1         0.0006676           1.234     
1         0.0258              1.671     
1         0.5337              1.674     
1         0.9995              1.604     
1         0.9473              2.006     
1         0.9487              1.56      
1         0.001055            1.449     
1         0.8965              1.393     
1         0.01755             1.435     
1         0.09064             1.361     
1         0.009171            3.078     
1         0.9995              1.507     
1         0.000555            1.312     
1         0.00238             1.731     
1         0.2395              1.428     
1         4.551e-05           1.54      
1         0.01413             1.755     
1         0.00214             1.209     
1         0.06396             1.606     
1         0.3901              1.506     
1         0.0001948           1.71      
1         0.0008264           1.587     
1         0.9976              1.889     
1         0.0005307           1.605     
1         0.002495            1.421     
1         0.8608              -1        
1         0.02094             1.466     
1         0.1272              1.521     
1         0.005119            1.794     
1         0.9985              1.55      
1         0.004925            1.375     
1         0.9985              1.555     
1         0.9995              1.447     
1         0.004807            3.166     
1         0.4712              1.793     
1         0.001594            -1        
1         0.03333             2.062     
1         0.8818              2.408     
1         0.8389              1.524     
1         0.1422              1.549     
1         0.9111              -1        
1         0.999               1.444     
1         0.0001611           1.481     
1         0.6543              1.754     
1         0.006363            1.542     
1         0.006233            -1        
1         0.9966              1.672     
1         0.9644              1.85      
1         0.5718              1.981     
1         0.07141             1.706     
1         0.02408             1.564     
1         0.9282              -1        
1         0.0007858           -1        
1         0.0006518           1.687     
1         0.003143            1.453     
1         0.9995              1.312     
1         0.004234            1.72      
1         0.9951              1.548     
1         0.9893              1.4       
1         0.9995              1.47      
1         0.0002131           1.882     
1         0.6758              -1        
1         0.00157             1.439     
1         0.999               1.511     
1         0.0003004           1.321     
1         0.9995              1.712     
1         0.04324             1.574     
1         0.0008721           1.512     
1         0.001091            1.424     
1         0.9971              1.631     
1         0.999               1.471     
1         0.009689            1.536     
1         0.9961              1.645     
1         0.06854             1.913     
1         0.0004549           1.729     
1         0.02943             1.705     
1         0.0293              1.295     
1         0.005302            1.729     
1         0.9995              1.544     
1         0.0005546           1.793     
1         0.002287            1.682     
1         0.01892             1.084     
1         0.9951              1.634     
1         0.02274             1.734     
1         0.9912              2.205     
1         0.9136              1.659     
1         0.9927              1.6       
1         0.9976              1.752     
1         0.0023              1.504     
1         0.07941             1.453     
1         0.999               -1        
1         0.1422              1.851     
1         0.002071            3.244     
1         0.9995              1.608     
1         0.00988             1.704     
1         0.0006137           2.188     
1         0.5737              2.783     
1         0.8188              -1        
1         0.0017              -1        
1         0.04327             1.545     
1         0.3625              2.285     
1         0.004368            1.267     
1         0.9961              1.658     
1         0.1396              -1        
1         0.006584            1.717     
1         0.9985              2.158     
1         0.009201            -1        
1         0.01295             2.023     
1         0.4026              1.556     
1         0.003807            -1        
1         0.9565              1.424     
1         0.01952             2.344     
1         0.9248              1.524     
1         0.9937              1.897     
1         0.05399             1.327     
1         0.02475             1.525     
1         0.02896             1.496     
1         0.03415             -1        
1         0.0001186           1.578     
1         0.002531            1.616     
1         0.0318              1.286     
1         0.1976              1.491     
1         0.9014              -1        
1         0.08521             2.16      
1         0.9507              2.047     
1         0.07062             1.629     
1         0.0009413           1.769     
1         0.0002099           2.32      
1         0.001904            1.807     
1         0.03506             1.807     
1         0.01953             1.998     
1         0.08875             2.721     
1         0.9854              1.59      
1         0.002892            1.584     
1         0.999               2.779     
1         0.0007086           1.539     
1         0.7925              1.33      
1         0.004547            1.593     
1         0.9824              1.858     
1         0.9995              1.829     
1         0.9077              1.836     
1         0.9878              1.414     
1         0.0005937           2.521     
1         0.04178             1.509     
1         0.6216              -1        
1         0.02678             1.603     
1         0.003998            1.51      
1         0.9971              1.744     
1         0.0004935           1.466     
1         0.001287            2.01      
1         0.01163             -1        
1         0.999               1.752     
1         0.0006866           -1        
1         0.9897              1.769     
1         0.4407              1.915     
1         0.02417             1.318     
1         0.05283             1.343     
1         0.0001916           3.109     
1         0.04532             1.59      
1         0.8325              -1        
1         0.8965              3.078     
1         0.6221              1.528     
1         0.006866            1.56      
1         0.9995              1.459     
1         0.02194             0.9502    
1         0.03464             1.532     
1         0.2717              1.64      
1         0.151               1.329     
1         0.7788              -1        
1         0.2546              1.485     
1         0.01305             1.587     
1         0.6821              1.759     
1         0.002934            2.256     
1         0.0004218           1.551     
1         0.9907              1.674     
1         0.9976              1.565     
1         0.999               1.568     
1         0.9941              1.456     
1         0.00536             1.545     
1         0.08911             2.596     
1         0.1064              1.678     
1         0.05466             1.554     
1         0.003708            1.254     
1         0.05923             1.955     
1         0.9858              1.726     
1         0.001198            1.276     
1         0.999               1.491     
1         0.01625             1.624     
1         0.979               1.509     
1         0.0007291           1.808     
1         0.0113              -1        
1         0.9971              1.506     
1         0.9995              1.516     
1         0.9023              -1        
1         0.2241              -1        
1         0.999               1.612     
1         0.05383             1.647     
1         0.0186              1.292     
1         0.98                2.441     
1         0.07977             -1        
1         0.08032             1.456     
1         0.03183             1.492     
1         0.01268             -1        
1         0.9971              1.611     
1         0.8506              1.36      
1         0.9995              1.221     
1         0.000586            -1        
1         0.9961              1.463     
1         0.000936            1.56      
1         0.0004604           2.295     
1         0.0003688           1.525     
1         0.9146              1.78      
1         0.0008125           2.344     
1         0.0273              1.962     
1         0.04114             -1        
1         0.1549              1.408     
1         0.9121              -1        
1         0.01093             1.511     
1         0.999               2.021     
1         0.9995              2.191     
1         0.193               1.436     
1         0.999               1.814     
1         0.9995              1.547     
